serve,cluster,vx0,vy0,vz0,wx0,wy0,wz0,vhx,vhy,vhz,whx,why,whz,pred_y,pred_z,pred_t,true_y,true_z,true_t,n_frames,pred_oracle_y,pred_oracle_z
17,backspin,4.9426,0.0119,0.9246,-12.48,-251.84,5.14,4.9223,0.3456,0.9619,1100.0,-196.4423,-204.4506,-0.1936,0.1462,0.6242,0.0289,0.1661,0.6647,49,0.1826,0.1535
18,topspin,5.591,0.0095,0.9413,10.54,350.8,-25.84,5.5699,-0.1009,0.8955,-971.1729,313.7124,86.5094,0.2233,0.1081,0.5409,-0.0301,0.1916,0.5158,36,-0.0704,0.1697
19,flat,4.8062,0.1265,0.9526,3.9,-5.74,24.3,4.78,-0.0683,0.7919,-749.476,-125.0506,203.3201,0.4176,0.0677,0.6599,0.0916,0.0268,0.723,43,-0.0049,0.0624
20,backspin,4.6114,0.0642,0.9086,-1.78,-299.92,-28.29,4.5724,0.1452,0.8689,871.4533,-324.6277,-108.6013,-0.184,0.116,0.6822,0.0018,0.1238,0.723,50,0.0506,0.0826
21,topspin,5.4184,-0.0684,0.7949,-26.19,360.27,-21.14,5.4271,-0.1905,0.7974,-1100.0,421.2858,148.8716,0.2542,0.0457,0.5527,-0.0136,0.1741,0.5222,34,-0.0628,0.1585
22,flat,5.2081,-0.1142,0.988,18.74,63.25,-1.65,5.2061,-0.2226,0.807,-480.9098,13.2809,89.6704,0.1905,0.138,0.6018,-0.0839,0.1405,0.6357,42,-0.1279,0.0957
23,backspin,5.0169,0.1983,0.8986,16.48,-249.0,-1.28,5.0099,0.2973,0.8667,379.4788,-260.7711,-68.8203,-0.0334,0.1564,0.6318,0.076,0.1683,0.6527,49,0.1427,0.1456
24,topspin,5.6528,0.2114,0.7672,18.86,323.84,24.15,5.6293,0.0014,0.6399,-1100.0,189.6372,279.4347,0.4679,0.059,0.5479,0.0816,0.1787,0.5124,34,0.0012,0.1465
25,flat,5.1012,0.153,0.9191,-8.4,20.24,-9.38,5.0285,-0.1554,0.5251,-1100.0,-227.045,248.2765,0.338,0.0967,0.6147,0.0788,0.0898,0.6707,42,-0.051,0.0568
26,backspin,4.9186,-0.1485,0.7601,24.81,-253.49,-26.35,4.9107,0.0118,0.7554,1037.1927,-269.0438,-177.3925,-0.329,0.1104,0.6342,-0.1441,0.1264,0.6736,46,-0.0422,0.11
27,topspin,5.3236,0.0519,0.8698,-21.81,321.66,-15.8,5.2578,0.0048,0.7168,-1100.0,175.5167,63.8511,0.2429,0.0655,0.5761,0.0346,0.1729,0.5416,36,0.0186,0.1366
28,flat,5.9536,-0.0171,0.907,1.07,-2.57,11.37,5.9363,0.0232,0.6299,419.3919,-145.3066,-41.4344,-0.1145,0.1638,0.5252,0.0028,0.1862,0.5465,43,0.0213,0.1517
29,backspin,4.9292,0.132,0.913,-18.24,-183.26,-12.68,4.8938,0.0275,0.6973,-1100.0,-315.5462,105.7416,0.2311,0.132,0.6291,0.0793,0.1405,0.6761,47,0.0155,0.0827
